disease,within_low,within_mid,within_high,herd_low,herd_mid,herd_high,reference,link,notes
ptb,0.05,0.2,0.3,0.5,0.6,0.7,Nielsen and Toft (2009),https://www.sciencedirect.com/science/article/pii/S0167587708001815,"Low, medium, and high values were specified around literature-reported animal-level prevalence (~20% with lower bounds of 3–5%) and herd-level prevalence (>50% in many European countries), using Nielsen and Toft (2009) as an empirical anchor."
bvd,0.05,0.15,0.4,0.1,0.3,0.6,Scharnböck et al. (2018),https://www.nature.com/articles/s41598-018-32831-2,"Scenario values were chosen to reflect the wide variation in herd-level prevalence observed across European systems, ranging from near-eradication to endemic conditions, as documented by Scharnböck et al. (2018)."
sal,0.15,0.3,0.5,0.05,0.15,0.3,Nielsen (2013); Gutema et al. (2019),https://www.cambridge.org/core/journals/epidemiology-and-infection/article/withinherd-prevalence-of-salmonella-dublin-in-endemically-infected-dairy-herds/6C96C1A58856907A05084CA62E07511B; https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2019.00102/full,"Within-herd values were based on seroprevalence estimates from endemic herds, typically 25–35% with wide variation (Nielsen, 2013), while herd-level values were informed by global prevalence estimates showing low to moderate infection levels across production systems (Gutema et al., 2019)."
